"Николай"
"Иван"
"Василий"
"Александр"
"Михаил"
"Мария"
"Алексей"
"Владимир"
"Петр"
"Анна"
"Виктор"
"Павел"
"Сергей"
"Александра"
"Нина"
"Анатолий"
"Валентина"
"Федор"
"Дмитрий"
"Григорий"
"Борис"
"Вера"
"Екатерина"
"Антонина"
"Клавдия"
"Лидия"
"Георгий"
"Андрей"
"Надежда"
"Татьяна"
"Константин"
"Ольга"
"Зинаида"
"Евгений"
"Леонид"
"Анастасия"
"Юрий"
"Евдокия"
"Елена"
"Валентин"
"Семен"
"Тамара"
"Степан"
"Галина"
"Зоя"
"Яков"
"Илья"
"Любовь"
"Евгения"
"Геннадий"
"Раиса"
"Людмила"
"Елизавета"
"Наталья"
"Аркадий"
"Пелагея"
"Прасковья"
"Виталий"
"Егор"
"Таисия"
"Лев"
"Тимофей"
"Варвара"
"Ирина"
"Вячеслав"
"Игорь"
"Вениамин"
"Афанасий"
"Серафима"
"Иосиф"
"Полина"
"Ефим"
"Филипп"
"Кузьма"
"Софья"
"Олег"
"София"
"Юлия"
"Ксения"
"Маргарита"
"Ираида"
"Максим"
"Антон"
"Фаина"
"Валерий"
"Матрена"
"Иннокентий"
"Роман"
"Тихон"
"Матвей"
"Ефросинья"
"Митрофан"
"Никита"
"Кирилл"
"Лариса"
"Дарья"
"Наталия"
"Гавриил"
"Станислав"
"Роза"
"Вадим"
"Гаврил"
"Герман"
"Серафим"
"Всеволод"
"Марфа"
"Владислав"
"Алевтина"
"Прокопий"
"Августа"
"Трофим"
"Римма"
"Никифор"
"Анфиса"
"Марина"
"Леонтий"
"Данил"
"Марк"
"Ульяна"
"Капиталина"
"Таисья"
"Захар"
"Стефан"
"Абрам"
"Клара"
"Моисей"
"Глеб"
"Савелий"
"Ибрагим"
"Кира"
"Эдуард"
"Парасковья"
"Альберт"
"Анвар"
"Давид"
"Магомед"
"Пантелей"
"Арсентий"
"Капитолина"
"Алла"
"Исаак"
"Инна"
"Абдулла"
"Даниил"
"Прокофий"
"Ангелина"
"Нинель"
"Валерия"
"Анисья"
"Илларион"
"Лилия"
"Ахмет"
"Макар"
"Игнат"
"Агриппина"
"Зиновий"
"Игнатий"
"Мансур"
"Арсений"
"Рашит"
"Шамиль"
"Ким"
"Герасим"
"Виктория"
"Аграфена"
"Агафья"
"Степанида"
"Федосья"
"Дина"
"Наум"
"Лазарь"
"Генрих"
"Апполинария"
"Артем"
"Аким"
"Глафира"
"Гурий"
"Хамит"
"Габдулла"
"Ростислав"
"Равиль"
"Агния"
"Хасан"
"Афонасий"
"Рафаил"
"Юлий"
"Махмут"
"Эмилия"
"Павла"
"Самуил"
"Демьян"
"Лаврентий"
"Олимпиада"
"Харис"
"Емельян"
"Зуфар"
"Руфина"
"Таиса"
"Терентий"
"Нонна"
"Валериан"
"Ахат"
"Касим"
"Ананий"
"Адам"
"Лука"
"Василиса"
"Павлина"
"Муза"
"Салих"
"Светлана"
"Розалия"
"Октябрина"
"Исмагил"
"Фарит"
"Евстафий"
"Ида"
"Камиль"
"Фекла"
"Акулина"
"Бронислав"
"Федосия"
"Никандр"
"Карп"
"Майя"
"Талгат"
"Адольф"
"Тагир"
"Федот"
"Исхак"
"Денис"
"Евдоким"
"Галимзян"
"Гариф"
"Султан"
"Владилен"
"Спиридон"
"Нурулла"
"Закир"
"Хамза"
"Архип"
"Израиль"
"Карл"
"Антонида"
"Рахиль"
"Роберт"
"Поликарп"
"Рамазан"
"Дора"
"Викентий"
"Порфирий"
"Арон"
"Анисим"
"Артемий"
"Фома"
"Шакир"
"Ефрем"
"Клавдий"
"Ахмед"
"Агрипина"
"Соломон"
"Фатых"
"Калерия"
"Мефодий"
"Мидхат"
"Гали"
"Сурен"
"Файзрахман"
"Вагиз"
"Ядвига"
"Лия"
"Феликс"
"Вероника"
"Заки"
"Харитон"
"Неонила"
"Сабир"
"Мухамет"
"Хайдар"
"Али"
"Сулейман"
"Марат"
"Феодосий"
"Асхат"
"Исмаил"
"Исай"
"Алефтина"
"Ефросиния"
"Бронислава"
"Манефа"
"Раис"
"Сарра"
"Ханиф"
"Фрол"
"Васса"
"Рудольф"
"Мунир"
"Хусаин"
"Сагит"
"Абдулхак"
"Эмма"
"Пантелеймон"
"Ия"
"Хабибулла"
"Рахим"
"Ильяс"
"Евстолия"
"Мирон"
"Ислам"
"Евсей"
"Устинья"
"Акрам"
"Габдрахман"
"Платон"
"Гусман"
"Гумар"
"Тарас"
"Феодосия"
"Венедикт"
"Самигулла"
"Абдрахман"
"Мухамед"
"Лукерья"
"Назип"
"Гумер"
"Давыд"
"Масгут"
"Янина"
"Габдулхак"
"Марьям"
"Юсуп"
"Фатих"
"Нургали"
"Рашид"
"Домна"
"Владлен"
"Нестер"
"Ашот"
"Гаяз"
"Агзам"
"Прохор"
"Абдул"
"Эсфирь"
"Федора"
"Асгат"
"Газиз"
"Фрида"
"Хаким"
"Никонор"
"Рафик"
"Усман"
"Арнольд"
"Марта"
"Ева"
"Элеонора"
"Закий"
"Зайнулла"
"Рафаэль"
"Ярослав"
"Габдулхай"
"Сусанна"
"Юнус"
"Родион"
"Мустафа"
"Меланья"
"Наиль"
"Назар"
"Авенир"
"Леонард"
"Галим"
"Шариф"
"Якуб"
"Ахтям"
"Берта"
"Мударис"
"Загит"
"Карим"
"Капитон"
"Зиннур"
"Ася"
"Бари"
"Валерьян"
"Нил"
"Амир"
"Рауф"
"Христина"
"Феоктиста"
"Идея"
"Лукьян"
"Хайрулла"
"Рубен"
"Зайтуна"
"Казимир"
"Хамзя"
"Абдулхай"
"Халим"
"Измаил"
"Август"
"Белла"
"Марианна"
"Спартак"
"Августина"
"Ариадна"
"Леон"
"Габбас"
"Ревекка"
"Куприян"
"Закария"
"Мухтар"
"Агафия"
"Феофан"
"Муса"
"Гарифулла"
"Эльвира"
"Нелли"
"Амина"
"Рэм"
"Регина"
"Хабиб"
"Саркис"
"Луиза"
"Альфред"
"Салим"
"Гаджи"
"Парфирий"
"Франц"
"Мира"
"Рахимзян"
"Трифон"
"Хафиз"
"Анисия"
"Шарифулла"
"Альбина"
"Сидор"
"Исак"
"Диана"
"Филимон"
"Малик"
"Андриан"
"Кондратий"
"Мазит"
"Рувим"
"Савва"
"Модест"
"Виль"
"Изосим"
"Ахнаф"
"Сара"
"Гурген"
"Идрис"
"Станислава"
"Лина"
"Нагим"
"Сания"
"Фридрих"
"Набиулла"
"Просковья"
"Магсум"
"Вартан"
"Андриян"
"Климентий"
"Галимьян"
"Искандар"
"Ювеналий"
"Адгам"
"Ермолай"
"Милица"
"Святослав"
"Касым"
"Гайса"
"Ксенья"
"Алимпиада"
"Инесса"
"Мирза"
"Анас"
"Аглям"
"Хаим"
"Маина"
"Феоктист"
"Елисей"
"Каюм"
"Тимерхан"
"Нурмухамет"
"Левон"
"Музагит"
"Хамид"
"Яхия"
"Зинур"
"Пелогея"
"Галимулла"
"Зия"
"Ленина"
"Ефимия"
"Вали"
"Рафкат"
"Осип"
"Курбан"
"Калимулла"
"Влас"
"Рифкат"
"Зариф"
"Фадей"
"Гильмутдин"
"Тимергали"
"Ахмадулла"
"Фуат"
"Рива"
"Аполинария"
"Нурислам"
"Саит"
"Эммануил"
"Асия"
"Галей"
