nikolaĭ
nikolai
nikolay
nikolaj
nikolajj
nykolaĭ
ivan
yvan
vasiliĭ
vasilii
vasiliy
vasily
vasilij
vasilijj
vasylyĭ
aleksandr
alexandr
mikhail
mihail
mixail
mykhayl
marii͡a
mariia
mariya
mariâ
marija
maryya
alekseĭ
aleksei
aleksey
aleksej
aleksejj
alexei
vladimir
vladymyr
petr
anna
viktor
vyktor
pavel
sergeĭ
sergei
sergey
sergej
sergejj
serguei
aleksandra
alexandra
nina
nyna
anatoliĭ
anatolii
anatoliy
anatoly
anatolij
anatolijj
anatolyĭ
valentina
valentyna
fedor
dmitriĭ
dmitrii
dmitriy
dmitry
dmitrij
dmitrijj
dmytryĭ
grigoriĭ
grigorii
grigoriy
grigory
grigorij
grigorijj
grygoryĭ
boris
borys
vera
ekaterina
yekaterina
ekateryna
antonina
antonyna
klavdii͡a
klavdiia
klavdiya
klavdiâ
klavdija
klavdyya
lidii͡a
lidiia
lidiya
lidiâ
lidija
lydyya
georgiĭ
georgii
georgiy
georgy
georgij
georgijj
georgyĭ
gueorguii
andreĭ
andrei
andrey
andrej
andrejj
nadezhda
nadežda
nadejda
tatʹi͡ana
tat'iana
tat’yana
tatʹyana
tat'yana
tatʹâna
tat`yana
tat'jana
tatiana
tatʹjana
tatyana
konstantin
konstantyn
konstantine
olʹga
ol'ga
ol’ga
ol`ga
olga
zinaida
zynayda
evgeniĭ
evgenii
yevgeniy
evgeny
evgenij
evgenijj
evgeniy
evgenyĭ
evguenii
yevgeny
leonid
leonyd
anastasii͡a
anastasiia
anastasiya
anastasiâ
anastasija
anastasyya
i͡uriĭ
iurii
yuriy
yury
ûrij
yurij
jurijj
jurij
yuryĭ
iourii
yurii
evdokii͡a
evdokiia
yevdokiya
evdokiya
evdokiâ
evdokija
evdokyya
elena
yelena
valentin
valentyn
valentine
semen
tamara
stepan
galina
galyna
zoi͡a
zoia
zoya
zoâ
zoja
i͡akov
iakov
yakov
âkov
jakov
ilʹi͡a
il'ia
il’ya
ilʹya
il'ya
ilʹâ
il`ya
il'ja
ilia
ilʹja
ylʹya
ilya
li͡ubovʹ
liubov'
lyubov’
lyubovʹ
lyubov'
lûbovʹ
lyubov`
ljubov'
liubov
ljubovʹ
lyubov
lioubov
evgenii͡a
evgeniia
yevgeniya
evgeniya
evgeniâ
evgenija
evgenyya
evgueniia
gennadiĭ
gennadii
gennadiy
gennady
gennadij
gennadijj
gennadyĭ
guennadii
raisa
raysa
li͡udmila
liudmila
lyudmila
lûdmila
ljudmila
lyudmyla
lioudmila
elizaveta
yelizaveta
elyzaveta
natalʹi͡a
natal'ia
natal’ya
natalʹya
natal'ya
natalʹâ
natal`ya
natal'ja
natalia
natalʹja
natalya
arkadiĭ
arkadii
arkadiy
arkady
arkadij
arkadijj
arkadyĭ
pelagei͡a
pelageia
pelageya
pelageâ
pelageja
pelagueia
praskovʹi͡a
praskov'ia
praskov’ya
praskovʹya
praskov'ya
praskovʹâ
praskov`ya
praskov'ja
praskovia
praskovʹja
praskovya
vitaliĭ
vitalii
vitaliy
vitaly
vitalij
vitalijj
vytalyĭ
egor
yegor
taisii͡a
taisiia
taisiya
taisiâ
taisija
taysyya
lev
timofeĭ
timofei
timofey
timofej
timofejj
tymofeĭ
varvara
irina
yryna
vi͡acheslav
viacheslav
vyacheslav
vâčeslav
vjacheslav
vjačeslav
viatcheslav
igorʹ
igor'
igor’
igor`
igor
ygorʹ
veniamin
venyamyn
veniamine
afanasiĭ
afanasii
afanasiy
afanasy
afanasij
afanasijj
afanasyĭ
serafima
serafyma
iosif
yosyf
polina
polyna
efim
yefim
efym
filipp
fylypp
kuzʹma
kuz'ma
kuz’ma
kuz`ma
kuzma
kouzma
sofʹi͡a
sof'ia
sof’ya
sofʹya
sof'ya
sofʹâ
sof`ya
sof'ja
sofia
sofʹja
sofya
oleg
sofii͡a
sofiia
sofiya
sofiâ
sofija
sofyya
i͡ulii͡a
iuliia
yuliya
ûliâ
julija
yulyya
iouliia
ksenii͡a
kseniia
kseniya
kseniâ
ksenija
ksenyya
xeniia
margarita
margaryta
iraida
yrayda
maksim
maksym
maxim
anton
faina
fayna
valeriĭ
valerii
valeriy
valery
valerij
valerijj
valeryĭ
matrena
innokentiĭ
innokentii
innokentiy
innokenty
innokentij
innokentijj
ynnokentyĭ
roman
tikhon
tihon
tixon
tykhon
matveĭ
matvei
matvey
matvej
matvejj
efrosinʹi͡a
efrosin'ia
yefrosin’ya
efrosinʹya
efrosin'ya
efrosinʹâ
efrosin`ya
efrosin'ja
efrosinia
efrosinʹja
efrosynʹya
efrosinya
yefrosinya
mitrofan
mytrofan
nikita
nykyta
kirill
kyryll
larisa
larysa
darʹi͡a
dar'ia
dar’ya
darʹya
dar'ya
darʹâ
dar`ya
dar'ja
daria
darʹja
darya
natalii͡a
nataliia
nataliya
nataliâ
natalija
natalyya
gavriil
gavryyl
stanislav
stanyslav
roza
vadim
vadym
gavril
gavryl
german
guerman
serafim
serafym
vsevolod
marfa
vladislav
vladyslav
alevtina
alevtyna
prokopiĭ
prokopii
prokopiy
prokopy
prokopij
prokopijj
prokopyĭ
avgusta
avgousta
trofim
trofym
rimma
rymma
nikifor
nykyfor
anfisa
anfysa
marina
maryna
leontiĭ
leontii
leontiy
leonty
leontij
leontijj
leontyĭ
danil
danyl
mark
ulʹi͡ana
ul'iana
ul’yana
ulʹyana
ul'yana
ulʹâna
ul`yana
ul'jana
uliana
ulʹjana
ulyana
ouliana
kapitalina
kapytalyna
taisʹi͡a
tais'ia
tais’ya
taisʹya
tais'ya
taisʹâ
tais`ya
tais'ja
taisia
taisʹja
taysʹya
taisya
zakhar
zahar
zaxar
stefan
abram
klara
moiseĭ
moisei
moisey
moisej
moisejj
moyseĭ
gleb
saveliĭ
savelii
saveliy
savely
savelij
savelijj
savelyĭ
ibragim
ybragym
ibraguim
kira
kyra
ėduard
eduard
éduard
èduard
е`duard
ehduard
edouard
paraskovʹi͡a
paraskov'ia
paraskov’ya
paraskovʹya
paraskov'ya
paraskovʹâ
paraskov`ya
paraskov'ja
paraskovia
paraskovʹja
paraskovya
alʹbert
al'bert
al’bert
al`bert
albert
anvar
david
davyd
magomed
panteleĭ
pantelei
panteley
pantelej
pantelejj
arsentiĭ
arsentii
arsentiy
arsenty
arsentij
arsentijj
arsentyĭ
kapitolina
kapytolyna
alla
isaak
ysaak
inna
ynna
abdulla
abdoulla
daniil
danyyl
prokofiĭ
prokofii
prokofiy
prokofy
prokofij
prokofijj
prokofyĭ
angelina
angelyna
anguelina
ninelʹ
ninel'
ninel’
ninel`
ninel
nynelʹ
valerii͡a
valeriia
valeriya
valeriâ
valerija
valeryya
anisʹi͡a
anis'ia
anis’ya
anisʹya
anis'ya
anisʹâ
anis`ya
anis'ja
anisia
anisʹja
anysʹya
anisya
illarion
yllaryon
lilii͡a
liliia
liliya
liliâ
lilija
lylyya
akhmet
ahmet
axmet
makar
ignat
ygnat
agrippina
agryppyna
zinoviĭ
zinovii
zinoviy
zinovy
zinovij
zinovijj
zynovyĭ
ignatiĭ
ignatii
ignatiy
ignaty
ignatij
ignatijj
ygnatyĭ
mansur
mansour
arseniĭ
arsenii
arseniy
arseny
arsenij
arsenijj
arsenyĭ
rashit
rašit
rashyt
rachit
shamilʹ
shamil'
shamil’
šamilʹ
shamil`
shamil
shamylʹ
chamil
kim
kym
gerasim
gerasym
guerasim
viktorii͡a
viktoriia
viktoriya
viktoriâ
viktorija
vyktoryya
agrafena
agafʹi͡a
agaf'ia
agaf’ya
agafʹya
agaf'ya
agafʹâ
agaf`ya
agaf'ja
agafia
agafʹja
agafya
stepanida
stepanyda
fedosʹi͡a
fedos'ia
fedos’ya
fedosʹya
fedos'ya
fedosʹâ
fedos`ya
fedos'ja
fedosia
fedosʹja
fedosya
dina
dyna
naum
naoum
lazarʹ
lazar'
lazar’
lazar`
lazar
genrikh
genrih
genrix
genrykh
guenrikh
appolinarii͡a
appolinariia
appolinariya
appolinariâ
appolinarija
appolynaryya
artem
akim
akym
glafira
glafyra
guriĭ
gurii
guriy
gury
gurij
gurijj
guryĭ
gourii
khamit
hamit
xamit
khamyt
gabdulla
gabdoulla
rostislav
rostyslav
ravilʹ
ravil'
ravil’
ravil`
ravil
ravylʹ
agnii͡a
agniia
agniya
agniâ
agnija
agnyya
khasan
hasan
xasan
afonasiĭ
afonasii
afonasiy
afonasy
afonasij
afonasijj
afonasyĭ
rafail
rafayl
i͡uliĭ
iulii
yuliy
yuly
ûlij
yulij
julijj
julij
yulyĭ
ioulii
yulii
makhmut
mahmut
maxmut
makhmout
ėmilii͡a
emiliia
emiliya
émiliya
èmiliâ
е`miliya
ehmilija
ėmilija
ėmylyya
èmilija
pavla
samuil
samuyl
samouil
demʹi͡an
dem'ian
dem’yan
demʹyan
dem'yan
demʹân
dem`yan
dem'jan
demian
demʹjan
demyan
lavrentiĭ
lavrentii
lavrentiy
lavrenty
lavrentij
lavrentijj
lavrentyĭ
olimpiada
olympyada
kharis
haris
xaris
kharys
emelʹi͡an
emel'ian
yemel’yan
emelʹyan
emel'yan
emelʹân
emel`yan
emel'jan
emelian
emelʹjan
emelyan
yemelyan
zufar
zoufar
rufina
rufyna
roufina
taisa
taysa
terentiĭ
terentii
terentiy
terenty
terentij
terentijj
terentyĭ
nonna
valerian
valeryan
akhat
ahat
axat
kasim
kasym
ananiĭ
ananii
ananiy
anany
ananij
ananijj
ananyĭ
adam
luka
louka
vasilisa
vasylysa
pavlina
pavlyna
muza
mouza
salikh
salih
salix
salykh
svetlana
rozalii͡a
rozaliia
rozaliya
rozaliâ
rozalija
rozalyya
okti͡abrina
oktiabrina
oktyabrina
oktâbrina
oktjabrina
oktyabryna
ismagil
ysmagyl
ismaguil
farit
faryt
evstafiĭ
evstafii
yevstafiy
evstafy
evstafij
evstafijj
evstafiy
evstafyĭ
yevstafy
ida
yda
kamilʹ
kamil'
kamil’
kamil`
kamil
kamylʹ
fekla
akulina
akulyna
akoulina
bronislav
bronyslav
fedosii͡a
fedosiia
fedosiya
fedosiâ
fedosija
fedosyya
nikandr
nykandr
karp
maĭi͡a
maiia
mayya
maĭya
maiya
majâ
majya
majjja
majja
talgat
adolʹf
adol'f
adol’f
adol`f
adolf
tagir
tagyr
taguir
fedot
iskhak
ishak
isxak
yskhak
denis
denys
evdokim
yevdokim
evdokym
galimzi͡an
galimzian
galimzyan
galimzân
galimzjan
galymzyan
garif
garyf
sultan
soultan
vladilen
vladylen
spiridon
spyrydon
nurulla
nouroulla
zakir
zakyr
khamza
hamza
xamza
arkhip
arhip
arxip
arkhyp
izrailʹ
izrail'
izrail’
izrail`
izrail
yzraylʹ
karl
antonida
antonyda
rakhilʹ
rakhil'
rakhil’
rahilʹ
raxil`
raxil'
rakhil
rakhylʹ
raxilʹ
rahil
robert
polikarp
polykarp
ramazan
dora
vikentiĭ
vikentii
vikentiy
vikenty
vikentij
vikentijj
vykentyĭ
porfiriĭ
porfirii
porfiriy
porfiry
porfirij
porfirijj
porfyryĭ
aron
anisim
anysym
artemiĭ
artemii
artemiy
artemy
artemij
artemijj
artemyĭ
foma
shakir
šakir
shakyr
chakir
efrem
yefrem
klavdiĭ
klavdii
klavdiy
klavdy
klavdij
klavdijj
klavdyĭ
akhmed
ahmed
axmed
agripina
agrypyna
solomon
fatykh
fatȳkh
fatyh
faty`x
fatyx
kalerii͡a
kaleriia
kaleriya
kaleriâ
kalerija
kaleryya
mefodiĭ
mefodii
mefodiy
mefody
mefodij
mefodijj
mefodyĭ
midkhat
midhat
midxat
mydkhat
gali
galy
suren
souren
faĭzrakhman
faizrakhman
fayzrakhman
fajzrahman
fajzraxman
fajjzrakhman
faizrahman
vagiz
vagyz
vaguiz
i͡adviga
iadviga
yadviga
âdviga
jadviga
yadvyga
lii͡a
liia
liya
liâ
lija
lyya
feliks
felyks
felix
veronika
veronyka
zaki
zaky
khariton
hariton
xariton
kharyton
neonila
neonyla
sabir
sabyr
mukhamet
muhamet
muxamet
moukhamet
khaĭdar
khaidar
khaydar
hajdar
xajdar
khajjdar
haidar
ali
aly
suleĭman
suleiman
suleyman
sulejman
sulejjman
souleiman
marat
feodosiĭ
feodosii
feodosiy
feodosy
feodosij
feodosijj
feodosyĭ
askhat
ashat
asxat
ismail
ysmayl
isaĭ
isai
isay
isaj
isajj
ysaĭ
aleftina
aleftyna
efrosinii͡a
efrosiniia
